user_id,age,gender,bmi,fitness_goal,experience_level,weekly_attendance,preferred_time,recommended_class
1,37,Male,24.5,Weight Loss,Intermediate,1,Morning,Zumba
2,43,Female,23.0,Weight Loss,Intermediate,0,Evening,HIIT
3,45,Female,24.2,Flexibility,Beginner,4,Morning,Yoga
4,24,Male,22.4,Flexibility,Beginner,2,Morning,Yoga
5,50,Male,25.8,Flexibility,Advanced,5,Morning,Yoga
6,35,Female,21.8,Weight Loss,Advanced,0,Morning,Cardio Blast
7,35,Female,22.6,Flexibility,Beginner,1,Morning,Yoga
8,49,Male,23.4,Muscle Gain,Beginner,0,Evening,Strength Training
9,20,Female,30.0,Muscle Gain,Intermediate,3,Morning,CrossFit
10,37,Female,29.8,Muscle Gain,Intermediate,5,Evening,Strength Training
11,49,Male,30.4,Muscle Gain,Beginner,5,Morning,CrossFit
12,36,Female,27.2,Flexibility,Intermediate,4,Morning,Yoga
13,32,Male,18.1,Flexibility,Beginner,5,Evening,Pilates
14,36,Female,28.5,Weight Loss,Intermediate,3,Evening,HIIT
15,39,Male,23.5,Weight Loss,Beginner,5,Morning,HIIT
16,18,Male,22.1,Flexibility,Intermediate,5,Morning,Pilates
17,34,Female,19.3,Muscle Gain,Intermediate,1,Evening,Strength Training
18,22,Female,29.9,Muscle Gain,Beginner,3,Evening,CrossFit
19,26,Male,18.6,Flexibility,Beginner,3,Morning,Pilates
20,20,Female,29.7,Muscle Gain,Beginner,3,Morning,Strength Training
21,36,Female,21.1,Weight Loss,Advanced,5,Morning,Zumba
22,33,Female,25.7,Weight Loss,Beginner,1,Morning,Zumba
23,22,Female,31.0,Weight Loss,Intermediate,4,Evening,Zumba
24,23,Female,23.6,Weight Loss,Beginner,0,Morning,Cardio Blast
25,49,Male,26.7,Muscle Gain,Advanced,4,Evening,CrossFit
26,33,Male,29.6,Weight Loss,Intermediate,2,Evening,Cardio Blast
27,27,Female,22.8,Weight Loss,Beginner,3,Evening,Cardio Blast
28,31,Female,22.9,Weight Loss,Advanced,2,Evening,Zumba
29,40,Male,19.0,Muscle Gain,Advanced,5,Evening,CrossFit
30,43,Female,23.4,Flexibility,Advanced,3,Morning,Pilates
31,47,Male,21.8,Weight Loss,Intermediate,0,Morning,Cardio Blast
32,49,Female,31.2,Weight Loss,Intermediate,1,Evening,Cardio Blast
33,43,Male,26.4,Muscle Gain,Advanced,5,Morning,CrossFit
34,24,Female,27.7,Flexibility,Advanced,1,Morning,Yoga
35,37,Female,23.1,Muscle Gain,Intermediate,2,Morning,Strength Training
36,32,Female,20.1,Flexibility,Advanced,1,Evening,Yoga
37,30,Female,29.9,Muscle Gain,Beginner,1,Evening,Strength Training
38,44,Male,27.5,Weight Loss,Intermediate,4,Morning,HIIT
39,39,Male,27.2,Weight Loss,Beginner,4,Morning,HIIT
40,18,Male,18.7,Weight Loss,Advanced,5,Evening,Zumba
41,47,Male,18.7,Flexibility,Beginner,5,Evening,Pilates
42,44,Male,27.5,Flexibility,Beginner,5,Morning,Yoga
43,36,Male,18.4,Flexibility,Beginner,0,Morning,Yoga
44,40,Male,27.0,Flexibility,Advanced,1,Morning,Pilates
45,41,Male,19.1,Muscle Gain,Intermediate,4,Morning,CrossFit
46,47,Male,28.0,Flexibility,Advanced,0,Morning,Pilates
47,35,Female,24.5,Flexibility,Intermediate,3,Morning,Pilates
48,26,Male,19.0,Weight Loss,Intermediate,4,Evening,Cardio Blast
49,26,Male,29.9,Flexibility,Intermediate,5,Morning,Pilates
50,25,Male,28.8,Weight Loss,Intermediate,0,Morning,HIIT
51,19,Male,25.1,Flexibility,Advanced,3,Evening,Pilates
52,26,Female,26.3,Weight Loss,Intermediate,1,Evening,Zumba
53,24,Male,21.2,Muscle Gain,Advanced,5,Evening,Strength Training
54,46,Male,22.4,Flexibility,Intermediate,4,Evening,Pilates
55,45,Female,21.4,Weight Loss,Intermediate,0,Evening,Cardio Blast
56,29,Female,19.0,Weight Loss,Intermediate,4,Evening,Cardio Blast
57,32,Male,19.0,Weight Loss,Intermediate,5,Evening,Cardio Blast
58,21,Female,25.1,Muscle Gain,Beginner,5,Evening,Strength Training
59,40,Male,19.5,Flexibility,Intermediate,0,Evening,Pilates
60,49,Female,30.5,Muscle Gain,Intermediate,4,Evening,Strength Training
61,19,Male,22.7,Flexibility,Advanced,2,Morning,Yoga
62,45,Male,21.5,Muscle Gain,Intermediate,5,Morning,CrossFit
63,39,Male,29.6,Weight Loss,Intermediate,1,Morning,HIIT
64,40,Male,26.3,Weight Loss,Beginner,5,Evening,Cardio Blast
65,46,Male,23.3,Flexibility,Beginner,4,Morning,Pilates
66,46,Male,24.8,Flexibility,Advanced,3,Evening,Pilates
67,47,Female,26.3,Flexibility,Advanced,1,Morning,Pilates
68,19,Female,29.4,Muscle Gain,Advanced,2,Morning,Strength Training
69,33,Female,26.8,Weight Loss,Advanced,0,Evening,Zumba
70,29,Female,27.6,Flexibility,Beginner,4,Morning,Yoga
71,20,Female,30.9,Weight Loss,Beginner,2,Evening,HIIT
72,42,Male,25.6,Muscle Gain,Advanced,4,Evening,Strength Training
73,38,Female,24.4,Flexibility,Beginner,5,Evening,Pilates
74,40,Female,26.1,Muscle Gain,Beginner,3,Morning,CrossFit
75,20,Female,28.1,Flexibility,Advanced,0,Evening,Pilates
76,29,Female,20.2,Flexibility,Advanced,1,Morning,Pilates
77,41,Male,30.3,Muscle Gain,Advanced,4,Morning,CrossFit
78,42,Female,31.4,Muscle Gain,Intermediate,1,Evening,CrossFit
79,45,Female,31.4,Weight Loss,Beginner,5,Evening,HIIT
80,45,Female,23.7,Muscle Gain,Advanced,4,Evening,CrossFit
81,20,Male,22.6,Weight Loss,Advanced,3,Morning,HIIT
82,48,Female,24.4,Weight Loss,Intermediate,2,Morning,Zumba
83,22,Female,22.5,Flexibility,Advanced,0,Morning,Yoga
84,39,Female,23.4,Flexibility,Intermediate,4,Evening,Yoga
85,47,Male,28.7,Weight Loss,Advanced,3,Morning,Zumba
86,50,Male,31.1,Weight Loss,Intermediate,0,Morning,Zumba
87,40,Male,19.4,Flexibility,Intermediate,0,Morning,Pilates
88,29,Female,26.1,Weight Loss,Intermediate,3,Morning,Cardio Blast
89,27,Female,28.0,Weight Loss,Advanced,2,Morning,Cardio Blast
90,28,Male,31.5,Muscle Gain,Beginner,1,Morning,Strength Training
91,44,Female,25.9,Weight Loss,Advanced,4,Evening,HIIT
92,30,Male,25.3,Weight Loss,Intermediate,2,Evening,HIIT
93,35,Female,31.8,Weight Loss,Intermediate,0,Morning,Cardio Blast
94,20,Male,20.7,Flexibility,Intermediate,0,Morning,Yoga
95,23,Male,29.3,Muscle Gain,Advanced,2,Evening,CrossFit
96,22,Male,22.1,Weight Loss,Beginner,3,Evening,Cardio Blast
97,19,Male,19.4,Flexibility,Advanced,4,Morning,Yoga
98,45,Female,19.6,Weight Loss,Advanced,5,Morning,Zumba
99,40,Female,19.2,Muscle Gain,Advanced,2,Morning,Strength Training
100,23,Female,26.4,Muscle Gain,Beginner,3,Evening,Strength Training
101,35,Male,20.3,Muscle Gain,Advanced,5,Evening,CrossFit
102,40,Female,24.4,Muscle Gain,Advanced,5,Evening,Strength Training
103,36,Male,30.8,Weight Loss,Intermediate,3,Morning,Zumba
104,30,Male,21.7,Flexibility,Advanced,2,Evening,Pilates
105,40,Female,31.6,Flexibility,Advanced,1,Morning,Pilates
106,42,Female,27.1,Muscle Gain,Advanced,1,Morning,Strength Training
107,27,Female,22.5,Flexibility,Intermediate,3,Morning,Yoga
108,44,Male,21.4,Flexibility,Beginner,5,Morning,Pilates
109,33,Male,27.5,Flexibility,Advanced,5,Morning,Yoga
110,48,Female,26.1,Flexibility,Advanced,1,Morning,Yoga
111,24,Female,18.9,Flexibility,Beginner,4,Evening,Pilates
112,19,Female,22.4,Flexibility,Beginner,3,Morning,Pilates
113,25,Male,25.9,Flexibility,Advanced,1,Morning,Pilates
114,47,Female,18.8,Weight Loss,Advanced,5,Morning,Cardio Blast
115,21,Male,30.0,Muscle Gain,Intermediate,1,Morning,CrossFit
